IntRelStiff,IntRelStr,IntRelFracEng,CapRelStiff,CapRelStr,Frac
1.67E-01,8.33E-02,1.00E-02,3.33E-04,1.67E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-03,1.67E+00,0
1.67E-01,8.33E-02,1.00E-02,1.67E-02,1.67E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-02,1.67E+00,0
1.67E-01,8.33E-02,1.00E-02,1.33E-01,1.67E+00,0
1.67E-01,8.33E-02,1.00E-02,1.33E-05,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,2.33E-05,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-05,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,1.67E-04,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-04,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-03,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,1.67E-02,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-02,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,1.33E-01,2.50E+00,0
1.67E-01,8.33E-02,1.00E-02,1.33E-05,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,2.33E-05,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-05,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,1.67E-04,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-04,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-03,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,1.67E-02,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,3.33E-02,3.33E+00,0
1.67E-01,8.33E-02,1.00E-02,1.33E-01,3.33E+00,0
3.33E-01,8.33E-02,1.00E-02,1.33E-05,8.33E-02,0
3.33E-01,8.33E-02,1.00E-02,2.33E-05,8.33E-02,0
3.33E-01,8.33E-02,1.00E-02,3.33E-05,8.33E-02,0
3.33E-01,8.33E-02,1.00E-02,1.67E-04,8.33E-02,1
3.33E-01,8.33E-02,1.00E-02,3.33E-04,8.33E-02,1
3.33E-01,8.33E-02,1.00E-02,3.33E-03,8.33E-02,1
3.33E-01,8.33E-02,1.00E-02,1.67E-02,8.33E-02,1
3.33E-01,8.33E-02,1.00E-02,3.33E-02,8.33E-02,1
